Solution: 
(0, 1)
(1, 2)
(2, 3)
(3, 4)
(4, 5)
(4, 6)
(3, 7)
(4, 8)
(3, 9)
(4, 10)
(5, 11)
(6, 12)
(7, 13)
(8, 14)
(8, 15)
(8, 16)
(8, 17)
Close list: 
(4, 0)
(4, 9)
(5, 1)
(8, 0)
(3, 13)
(5, 10)
(8, 9)
(0, 5)
(2, 2)
(0, 14)
(2, 11)
(6, 2)
(7, 1)
(1, 15)
(6, 11)
(7, 10)
(4, 2)
(3, 6)
(8, 2)
(3, 15)
(5, 12)
(8, 11)
(0, 7)
(2, 4)
(0, 16)
(1, 8)
(6, 4)
(7, 3)
(6, 13)
(7, 12)
(3, 8)
(8, 4)
(0, 0)
(5, 14)
(0, 9)
(1, 10)
(7, 14)
(3, 1)
(3, 10)
(0, 2)
(5, 16)
(1, 3)
(1, 12)
(7, 16)
(5, 0)
(3, 12)
(5, 9)
(4, 11)
(1, 5)
(6, 1)
(7, 0)
(1, 14)
(2, 13)
(7, 9)
(5, 2)
(3, 14)
(5, 11)
(4, 13)
(8, 13)
(1, 7)
(2, 6)
(7, 2)
(1, 16)
(2, 15)
(7, 11)
(6, 15)
(3, 7)
(5, 4)
(4, 6)
(3, 16)
(5, 13)
(4, 15)
(8, 6)
(1, 0)
(8, 15)
(1, 9)
(0, 11)
(2, 8)
(7, 4)
(6, 8)
(3, 0)
(3, 9)
(5, 6)
(4, 8)
(8, 8)
(1, 2)
(0, 4)
(2, 1)
(1, 11)
(0, 13)
(2, 10)
(6, 10)
(3, 2)
(4, 1)
(3, 11)
(4, 10)
(8, 1)
(8, 10)
(1, 4)
(0, 6)
(2, 3)
(1, 13)
(0, 15)
(2, 12)
(6, 3)
(6, 12)
(3, 4)
(4, 3)
(4, 12)
(8, 3)
(8, 12)
(1, 6)
(0, 8)
(2, 5)
(2, 14)
(6, 5)
(6, 14)
(7, 13)
(4, 5)
(4, 14)
(8, 5)
(0, 1)
(5, 15)
(8, 14)
(0, 10)
(2, 7)
(2, 16)
(6, 7)
(7, 6)
(6, 16)
(7, 15)
(4, 7)
(4, 16)
(5, 8)
(8, 7)
(1, 1)
(0, 3)
(2, 0)
(8, 16)
(0, 12)
(2, 9)
(6, 0)
(6, 9)
(7, 8)
